analysis,bootstrap_unit,domain,method,condition,metric,n_boot,n,mean,median,ci95_lo,ci95_hi,n_parent_events
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.2;failure_mode=iid,p95_latency_ms,10000.0,1336.0,369.8651065653389,363.0721452375968,364.0784431915827,375.5773637530721,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.2;failure_mode=iid,constraint_violation,10000.0,1350.0,0.482962962962963,0.0,0.4562962962962963,0.5096296296296297,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.2;failure_mode=iid,overhead_proxy,10000.0,1350.0,0.8985185185185185,1.0,0.8877777777777778,0.9088888888888889,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.2;failure_mode=spatial,risk_delivery,10000.0,1350.0,0.7337791088786185,0.8149360164958126,0.7193073663918785,0.7482427049001428,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.2;failure_mode=spatial,p95_latency_ms,10000.0,1328.0,370.2781358644984,360.4551008346001,364.4204251680126,376.11749010137123,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.2;failure_mode=spatial,constraint_violation,10000.0,1350.0,0.4748148148148148,0.0,0.4488888888888889,0.5014814814814815,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.2;failure_mode=spatial,overhead_proxy,10000.0,1350.0,0.8166666666666667,1.0,0.804074074074074,0.8292592592592593,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.3;failure_mode=iid,risk_delivery,10000.0,1350.0,0.695464315993773,0.7512007343738425,0.6833803851109892,0.7075099144937403,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.3;failure_mode=iid,p95_latency_ms,10000.0,1327.0,395.8264782371638,390.26483978177225,390.0759470234668,401.61153874909377,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.3;failure_mode=iid,constraint_violation,10000.0,1350.0,0.6111111111111112,1.0,0.5851851851851851,0.6362962962962962,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.3;failure_mode=iid,overhead_proxy,10000.0,1350.0,0.9514814814814815,1.0,0.9433333333333334,0.9592592592592593,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.3;failure_mode=spatial,risk_delivery,10000.0,1350.0,0.6767831363552983,0.7584519594085251,0.6608613718567496,0.6926954927008169,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.3;failure_mode=spatial,p95_latency_ms,10000.0,1315.0,399.9887683287655,390.1745931847779,394.091791205429,405.8771669775454,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.3;failure_mode=spatial,constraint_violation,10000.0,1350.0,0.5511111111111111,1.0,0.5244444444444445,0.5777777777777777,
PRIMARY_ROADMAP,scenario×seed×experiment_condition,outage,AI_BEWARN,outage_fraction=0.3;failure_mode=spatial,overhead_proxy,10000.0,1350.0,0.8481481481481481,1.0,0.8359166666666668,0.86,
